episode    377, score -19, own  2, enemy 21, mean -18.06
episode    378, score -13, own  8, enemy 21, mean -18.07
episode    379, score -17, own  4, enemy 21, mean -18.02
episode    380, score -17, own  4, enemy 21, mean -18.01
episode    381, score -19, own  2, enemy 21, mean -18.00
episode    382, score -14, own  7, enemy 21, mean -18.01
episode    383, score -19, own  2, enemy 21, mean -17.97
episode    384, score -19, own  2, enemy 21, mean -17.98
episode    385, score -15, own  6, enemy 21, mean -17.99
episode    386, score -16, own  5, enemy 21, mean -17.96
episode    387, score -17, own  4, enemy 21, mean -17.94
episode    388, score -18, own  3, enemy 21, mean -17.93
episode    389, score -18, own  3, enemy 21, mean -17.93
episode    390, score -19, own  2, enemy 21, mean -17.93
episode    391, score -13, own  8, enemy 21, mean -17.94
episode    392, score -21, own  0, enemy 21, mean -17.89
episode    393, score -18, own  3, enemy 21, mean -17.92
episode    394, score -18, own  3, enemy 21, mean -17.92
episode    395, score -21, own  0, enemy 21, mean -17.92
episode    396, score -15, own  6, enemy 21, mean -17.96
episode    397, score -15, own  6, enemy 21, mean -17.93
episode    398, score -17, own  4, enemy 21, mean -17.90
episode    399, score -13, own  8, enemy 21, mean -17.89
episode    400, score -18, own  3, enemy 21, mean -17.84
episode    401, score -15, own  6, enemy 21, mean -17.84
episode    402, score -19, own  2, enemy 21, mean -17.81
episode    403, score -17, own  4, enemy 21, mean -17.82
episode    404, score -19, own  2, enemy 21, mean -17.82
episode    405, score -14, own  7, enemy 21, mean -17.83
episode    406, score -17, own  4, enemy 21, mean -17.79
episode    407, score -17, own  4, enemy 21, mean -17.78
episode    408, score -20, own  1, enemy 21, mean -17.77
episode    409, score -19, own  2, enemy 21, mean -17.80
episode    410, score -15, own  6, enemy 21, mean -17.81
episode    411, score -14, own  7, enemy 21, mean -17.78
episode    412, score -19, own  2, enemy 21, mean -17.74
episode    413, score -15, own  6, enemy 21, mean -17.75
episode    414, score -19, own  2, enemy 21, mean -17.73
episode    415, score -17, own  4, enemy 21, mean -17.74
episode    416, score -17, own  4, enemy 21, mean -17.73
episode    417, score -15, own  6, enemy 21, mean -17.72
episode    418, score -19, own  2, enemy 21, mean -17.70
episode    419, score -20, own  1, enemy 21, mean -17.71
episode    420, score -19, own  2, enemy 21, mean -17.73
episode    421, score -20, own  1, enemy 21, mean -17.75
episode    422, score -19, own  2, enemy 21, mean -17.77
episode    423, score -13, own  8, enemy 21, mean -17.78
episode    424, score -17, own  4, enemy 21, mean -17.73
episode    425, score -19, own  2, enemy 21, mean -17.73
episode    426, score -18, own  3, enemy 21, mean -17.74
episode    427, score -19, own  2, enemy 21, mean -17.74
episode    428, score -16, own  5, enemy 21, mean -17.75
episode    429, score -17, own  4, enemy 21, mean -17.74
episode    430, score -19, own  2, enemy 21, mean -17.73
episode    431, score -11, own 10, enemy 21, mean -17.74
episode    432, score -16, own  5, enemy 21, mean -17.67
episode    433, score -16, own  5, enemy 21, mean -17.66
episode    434, score -17, own  4, enemy 21, mean -17.64
episode    435, score -19, own  2, enemy 21, mean -17.63
episode    436, score -17, own  4, enemy 21, mean -17.65
episode    437, score -19, own  2, enemy 21, mean -17.64
episode    438, score -19, own  2, enemy 21, mean -17.66
episode    439, score -18, own  3, enemy 21, mean -17.67
episode    440, score -18, own  3, enemy 21, mean -17.67
episode    441, score -15, own  6, enemy 21, mean -17.68
episode    442, score -19, own  2, enemy 21, mean -17.65
episode    443, score -21, own  0, enemy 21, mean -17.66
episode    444, score -14, own  7, enemy 21, mean -17.70
episode    445, score -18, own  3, enemy 21, mean -17.66
episode    446, score -17, own  4, enemy 21, mean -17.66
episode    447, score -16, own  5, enemy 21, mean -17.66
episode    448, score -17, own  4, enemy 21, mean -17.64
episode    449, score -15, own  6, enemy 21, mean -17.63
episode    450, score -17, own  4, enemy 21, mean -17.61
episode    451, score -15, own  6, enemy 21, mean -17.60
episode    452, score -18, own  3, enemy 21, mean -17.57
episode    453, score -18, own  3, enemy 21, mean -17.58
episode    454, score -15, own  6, enemy 21, mean -17.58
episode    455, score -19, own  2, enemy 21, mean -17.56
episode    456, score -19, own  2, enemy 21, mean -17.57
episode    457, score -21, own  0, enemy 21, mean -17.59
episode    458, score -21, own  0, enemy 21, mean -17.62
episode    459, score -17, own  4, enemy 21, mean -17.65
episode    460, score -20, own  1, enemy 21, mean -17.65
episode    461, score -17, own  4, enemy 21, mean -17.67
episode    462, score -16, own  5, enemy 21, mean -17.66
episode    463, score -17, own  4, enemy 21, mean -17.65
episode    464, score -13, own  8, enemy 21, mean -17.64
episode    465, score -19, own  2, enemy 21, mean -17.59
episode    466, score -17, own  4, enemy 21, mean -17.61
episode    467, score -16, own  5, enemy 21, mean -17.60
episode    468, score -19, own  2, enemy 21, mean -17.59
episode    469, score -11, own 10, enemy 21, mean -17.60
episode    470, score -19, own  2, enemy 21, mean -17.53
episode    471, score -20, own  1, enemy 21, mean -17.55
episode    472, score -19, own  2, enemy 21, mean -17.57
episode    473, score -17, own  4, enemy 21, mean -17.59
episode    474, score -18, own  3, enemy 21, mean -17.58
episode    475, score -17, own  4, enemy 21, mean -17.59
episode    476, score -19, own  2, enemy 21, mean -17.58
episode    477, score -20, own  1, enemy 21, mean -17.59
episode    478, score -16, own  5, enemy 21, mean -17.62
episode    479, score -13, own  8, enemy 21, mean -17.60
episode    480, score -16, own  5, enemy 21, mean -17.56
episode    481, score -17, own  4, enemy 21, mean -17.54
episode    482, score -18, own  3, enemy 21, mean -17.54
episode    483, score -21, own  0, enemy 21, mean -17.54
episode    484, score -17, own  4, enemy 21, mean -17.57
episode    485, score -15, own  6, enemy 21, mean -17.57
episode    486, score -18, own  3, enemy 21, mean -17.54
episode    487, score -17, own  4, enemy 21, mean -17.55
episode    488, score -17, own  4, enemy 21, mean -17.54
episode    489, score -15, own  6, enemy 21, mean -17.54
episode    490, score -14, own  7, enemy 21, mean -17.51
episode    491, score -13, own  8, enemy 21, mean -17.48
episode    492, score -17, own  4, enemy 21, mean -17.43
episode    493, score -17, own  4, enemy 21, mean -17.43
episode    494, score -10, own 11, enemy 21, mean -17.42
episode    495, score -15, own  6, enemy 21, mean -17.35
episode    496, score -18, own  3, enemy 21, mean -17.33
episode    497, score -16, own  5, enemy 21, mean -17.33
episode    498, score -18, own  3, enemy 21, mean -17.32
episode    499, score -15, own  6, enemy 21, mean -17.33
episode    500, score -21, own  0, enemy 21, mean -17.30
episode    501, score -16, own  5, enemy 21, mean -17.34
episode    502, score -13, own  8, enemy 21, mean -17.33
episode    503, score -15, own  6, enemy 21, mean -17.28
episode    504, score -17, own  4, enemy 21, mean -17.26
episode    505, score -14, own  7, enemy 21, mean -17.26
